antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.14,0.475,0.14,1.0,2.1052631578947367,1.0,0.07350000000000001,inf,0.6104651162790699,0.2947368421052632,1.0,0.6473684210526316
"frozenset({'Additive:BYK-333', 'Thickener:HEUR', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.11,0.475,0.11,1.0,2.1052631578947367,1.0,0.05775,inf,0.5898876404494382,0.23157894736842105,1.0,0.6157894736842106
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.135,0.475,0.135,1.0,2.1052631578947367,1.0,0.07087500000000001,inf,0.6069364161849712,0.2842105263157895,1.0,0.6421052631578947
"frozenset({'Thickener:HEUR', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.11,0.485,0.11,1.0,2.061855670103093,1.0,0.05665,inf,0.5786516853932584,0.2268041237113402,1.0,0.6134020618556701
"frozenset({'Thickener:HEUR', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.11,0.53,0.11,1.0,1.8867924528301885,1.0,0.051699999999999996,inf,0.5280898876404494,0.20754716981132074,1.0,0.6037735849056604
"frozenset({'Pigment:TiO2', 'Thickener:HEUR', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.11,0.53,0.11,1.0,1.8867924528301885,1.0,0.051699999999999996,inf,0.5280898876404494,0.20754716981132074,1.0,0.6037735849056604
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.14,0.545,0.14,1.0,1.8348623853211008,1.0,0.0637,inf,0.5290697674418605,0.25688073394495414,1.0,0.6284403669724771
"frozenset({'Additive:BYK-333', 'Thickener:HEUR', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.11,0.545,0.11,1.0,1.8348623853211008,1.0,0.05005,inf,0.5112359550561797,0.20183486238532108,1.0,0.6009174311926605
"frozenset({'Additive:BYK-333', 'Pigment:TiO2', 'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.14,0.545,0.14,1.0,1.8348623853211008,1.0,0.0637,inf,0.5290697674418605,0.25688073394495414,1.0,0.6284403669724771
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.135,0.545,0.135,1.0,1.8348623853211008,1.0,0.061424999999999993,inf,0.5260115606936415,0.2477064220183486,1.0,0.6238532110091743
"frozenset({'Additive:BYK-333', 'Thickener:HEUR', 'Pigment:TiO2', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.11,0.545,0.11,1.0,1.8348623853211008,1.0,0.05005,inf,0.5112359550561797,0.20183486238532108,1.0,0.6009174311926605
"frozenset({'Additive:BYK-333', 'Solvent:Toluene', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Pigment:TiO2'})",frozenset({'Resin:Acrylic_A'}),0.135,0.545,0.135,1.0,1.8348623853211008,1.0,0.061424999999999993,inf,0.5260115606936415,0.2477064220183486,1.0,0.6238532110091743
frozenset({'Solvent:Toluene'}),frozenset({'Pigment:TiO2'}),0.61,0.715,0.61,1.0,1.3986013986013988,1.0,0.17385,inf,0.7307692307692308,0.8531468531468531,1.0,0.9265734265734266
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.155,0.715,0.155,1.0,1.3986013986013988,1.0,0.044175000000000006,inf,0.33727810650887574,0.2167832167832168,1.0,0.6083916083916084
"frozenset({'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.46,0.715,0.46,1.0,1.3986013986013988,1.0,0.1311,inf,0.5277777777777777,0.6433566433566433,1.0,0.8216783216783217
"frozenset({'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.22,0.715,0.22,1.0,1.3986013986013988,1.0,0.0627,inf,0.3653846153846154,0.3076923076923077,1.0,0.6538461538461539
"frozenset({'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.535,0.715,0.535,1.0,1.3986013986013988,1.0,0.15247500000000003,inf,0.6129032258064517,0.7482517482517483,1.0,0.8741258741258742
"frozenset({'Additive:BYK-333', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.465,0.715,0.465,1.0,1.3986013986013988,1.0,0.132525,inf,0.5327102803738318,0.6503496503496505,1.0,0.8251748251748252
"frozenset({'Thickener:HEUR', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.135,0.715,0.135,1.0,1.3986013986013988,1.0,0.03847500000000001,inf,0.3294797687861272,0.18881118881118883,1.0,0.5944055944055944
"frozenset({'Thickener:CMC', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.1,0.715,0.1,1.0,1.3986013986013988,1.0,0.02850000000000001,inf,0.31666666666666676,0.13986013986013987,1.0,0.5699300699300699
"frozenset({'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.145,0.715,0.145,1.0,1.3986013986013988,1.0,0.041325,inf,0.33333333333333337,0.20279720279720279,1.0,0.6013986013986014
"frozenset({'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.15,0.715,0.15,1.0,1.3986013986013988,1.0,0.042749999999999996,inf,0.3352941176470588,0.2097902097902098,1.0,0.6048951048951049
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.14,0.715,0.14,1.0,1.3986013986013988,1.0,0.039900000000000005,inf,0.33139534883720934,0.19580419580419584,1.0,0.5979020979020979
"frozenset({'Solvent:Toluene', 'Resin:Acrylic_A', 'Thickener:HEC'})",frozenset({'Pigment:TiO2'}),0.13,0.715,0.13,1.0,1.3986013986013988,1.0,0.03705,inf,0.3275862068965517,0.18181818181818182,1.0,0.5909090909090909
"frozenset({'Surfactant:Tego270', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.41,0.715,0.41,1.0,1.3986013986013988,1.0,0.11685000000000001,inf,0.4830508474576271,0.5734265734265733,1.0,0.7867132867132867
"frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.43,0.715,0.43,1.0,1.3986013986013988,1.0,0.12254999999999999,inf,0.49999999999999994,0.6013986013986014,1.0,0.8006993006993006
"frozenset({'Thickener:HEUR', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.11,0.715,0.11,1.0,1.3986013986013988,1.0,0.03135,inf,0.3202247191011236,0.15384615384615385,1.0,0.5769230769230769
"frozenset({'Solvent:Toluene', 'Surfactant:Tego270', 'Thickener:HEC'})",frozenset({'Pigment:TiO2'}),0.18,0.715,0.18,1.0,1.3986013986013988,1.0,0.05130000000000001,inf,0.3475609756097562,0.2517482517482517,1.0,0.6258741258741258
"frozenset({'Additive:BYK-333', 'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.13,0.715,0.13,1.0,1.3986013986013988,1.0,0.03705,inf,0.3275862068965517,0.18181818181818182,1.0,0.5909090909090909
"frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.42,0.715,0.42,1.0,1.3986013986013988,1.0,0.11970000000000003,inf,0.4913793103448277,0.5874125874125873,1.0,0.7937062937062938
"frozenset({'Thickener:HEUR', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.115,0.715,0.115,1.0,1.3986013986013988,1.0,0.032775,inf,0.3220338983050847,0.16083916083916086,1.0,0.5804195804195804
"frozenset({'Additive:BYK-333', 'Thickener:HEUR', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.11,0.715,0.11,1.0,1.3986013986013988,1.0,0.03135,inf,0.3202247191011236,0.15384615384615385,1.0,0.5769230769230769
"frozenset({'Thickener:Xanthan', 'Surfactant:Tego270', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.14,0.715,0.14,1.0,1.3986013986013988,1.0,0.039900000000000005,inf,0.33139534883720934,0.19580419580419584,1.0,0.5979020979020979
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.14,0.715,0.14,1.0,1.3986013986013988,1.0,0.039900000000000005,inf,0.33139534883720934,0.19580419580419584,1.0,0.5979020979020979
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.135,0.715,0.135,1.0,1.3986013986013988,1.0,0.03847500000000001,inf,0.3294797687861272,0.18881118881118883,1.0,0.5944055944055944
"frozenset({'Surfactant:Tego270', 'Resin:Acrylic_A', 'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.115,0.715,0.115,1.0,1.3986013986013988,1.0,0.032775,inf,0.3220338983050847,0.16083916083916086,1.0,0.5804195804195804
"frozenset({'Additive:BYK-333', 'Thickener:HEC', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.11,0.715,0.11,1.0,1.3986013986013988,1.0,0.03135,inf,0.3202247191011236,0.15384615384615385,1.0,0.5769230769230769
"frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.385,0.715,0.385,1.0,1.3986013986013988,1.0,0.10972500000000002,inf,0.4634146341463415,0.5384615384615384,1.0,0.7692307692307692
"frozenset({'Additive:BYK-333', 'Thickener:HEUR', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.11,0.715,0.11,1.0,1.3986013986013988,1.0,0.03135,inf,0.3202247191011236,0.15384615384615385,1.0,0.5769230769230769
"frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Pigment:TiO2'}),0.115,0.715,0.115,1.0,1.3986013986013988,1.0,0.032775,inf,0.3220338983050847,0.16083916083916086,1.0,0.5804195804195804
"frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Solvent:Toluene', 'Thickener:Xanthan', 'Surfactant:Tego270'})",frozenset({'Pigment:TiO2'}),0.135,0.715,0.135,1.0,1.3986013986013988,1.0,0.03847500000000001,inf,0.3294797687861272,0.18881118881118883,1.0,0.5944055944055944
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.155,0.555,0.15,0.9677419354838708,1.7436791630340012,1.0,0.06397499999999999,13.794999999999916,0.5047337278106508,0.26785714285714285,0.9275099673794849,0.6190061028770705
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.155,0.615,0.15,0.9677419354838708,1.5735641227380013,1.0,0.054675,11.93499999999993,0.43136094674556213,0.24193548387096772,0.9162128194386254,0.6058221872541305
"frozenset({'Solvent:Toluene', 'Thickener:Xanthan', 'Pigment:TiO2'})",frozenset({'Surfactant:Tego270'}),0.155,0.615,0.15,0.9677419354838708,1.5735641227380013,1.0,0.054675,11.93499999999993,0.43136094674556213,0.24193548387096772,0.9162128194386254,0.6058221872541305
"frozenset({'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.145,0.485,0.14,0.9655172413793106,1.9907571987202282,1.0,0.06967500000000001,14.935000000000114,0.5820802005012532,0.28571428571428575,0.9330431871442925,0.6270885175968718
"frozenset({'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.145,0.53,0.14,0.9655172413793106,1.8217306441119068,1.0,0.06315000000000001,13.630000000000104,0.5275689223057645,0.26168224299065423,0.9266324284666183,0.6148340923877685
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.145,0.53,0.14,0.9655172413793106,1.8217306441119068,1.0,0.06315000000000001,13.630000000000104,0.5275689223057645,0.26168224299065423,0.9266324284666183,0.6148340923877685
"frozenset({'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.145,0.555,0.14,0.9655172413793106,1.739670705187947,1.0,0.05952500000000001,12.905000000000097,0.4972848788638262,0.25,0.9225106547849676,0.6088847468157814
"frozenset({'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.145,0.615,0.14,0.9655172413793106,1.5699467339500985,1.0,0.05082500000000002,11.165000000000086,0.42460317460317476,0.22580645161290325,0.9104343931930146,0.5965797589010374
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.145,0.615,0.14,0.9655172413793106,1.5699467339500985,1.0,0.05082500000000002,11.165000000000086,0.42460317460317476,0.22580645161290325,0.9104343931930146,0.5965797589010374
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Pigment:TiO2', 'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.14,0.41,0.135,0.9642857142857143,2.35191637630662,1.0,0.0776,16.52000000000001,0.6683893195521102,0.3253012048192771,0.9394673123486681,0.6467770034843205
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.14,0.425,0.135,0.9642857142857143,2.26890756302521,1.0,0.07550000000000001,16.100000000000005,0.6503014642549527,0.3139534883720931,0.9378881987577642,0.6409663865546219
"frozenset({'Additive:BYK-333', 'Pigment:TiO2', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.14,0.425,0.135,0.9642857142857143,2.26890756302521,1.0,0.07550000000000001,16.100000000000005,0.6503014642549527,0.3139534883720931,0.9378881987577642,0.6409663865546219
"frozenset({'Thickener:Xanthan', 'Surfactant:Tego270', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.14,0.485,0.135,0.9642857142857143,1.988217967599411,1.0,0.0671,14.420000000000007,0.5779500430663221,0.2755102040816327,0.9306518723994452,0.6213181148748159
"frozenset({'Thickener:Xanthan', 'Surfactant:Tego270', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.14,0.53,0.135,0.9642857142857143,1.8194070080862532,1.0,0.06079999999999999,13.160000000000005,0.5236864771748492,0.25233644859813087,0.9240121580547113,0.6095013477088949
"frozenset({'Resin:Acrylic_A', 'Solvent:Toluene', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Pigment:TiO2'})",frozenset({'Additive:BYK-333'}),0.14,0.53,0.135,0.9642857142857143,1.8194070080862532,1.0,0.06079999999999999,13.160000000000005,0.5236864771748492,0.25233644859813087,0.9240121580547113,0.6095013477088949
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.14,0.555,0.135,0.9642857142857143,1.7374517374517373,1.0,0.05729999999999999,12.460000000000004,0.4935400516795864,0.24107142857142858,0.9197431781701445,0.6037644787644788
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.14,0.555,0.135,0.9642857142857143,1.7374517374517373,1.0,0.05729999999999999,12.460000000000004,0.4935400516795864,0.24107142857142858,0.9197431781701445,0.6037644787644788
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.14,0.615,0.135,0.9642857142857143,1.5679442508710801,1.0,0.0489,10.780000000000005,0.421188630490956,0.217741935483871,0.9072356215213359,0.5918989547038328
"frozenset({'Additive:BYK-333', 'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.14,0.615,0.135,0.9642857142857143,1.5679442508710801,1.0,0.0489,10.780000000000005,0.421188630490956,0.217741935483871,0.9072356215213359,0.5918989547038328
"frozenset({'Additive:BYK-333', 'Pigment:TiO2', 'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.14,0.615,0.135,0.9642857142857143,1.5679442508710801,1.0,0.0489,10.780000000000005,0.421188630490956,0.217741935483871,0.9072356215213359,0.5918989547038328
"frozenset({'Additive:BYK-333', 'Solvent:Toluene', 'Thickener:Xanthan', 'Resin:Acrylic_A', 'Pigment:TiO2'})",frozenset({'Surfactant:Tego270'}),0.14,0.615,0.135,0.9642857142857143,1.5679442508710801,1.0,0.0489,10.780000000000005,0.421188630490956,0.217741935483871,0.9072356215213359,0.5918989547038328
"frozenset({'Surfactant:Tego270', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.41,0.485,0.385,0.9390243902439025,1.9361327633894898,1.0,0.18615000000000004,8.446000000000009,0.8195025313669382,0.7549019607843137,0.8816007577551505,0.8664194116167967
"frozenset({'Surfactant:Tego270', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.41,0.53,0.385,0.9390243902439025,1.771744132535665,1.0,0.16770000000000002,7.708000000000006,0.7382786704820602,0.6936936936936938,0.8702646600934095,0.8327197422917625
"frozenset({'Pigment:TiO2', 'Surfactant:Tego270', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.41,0.53,0.385,0.9390243902439025,1.771744132535665,1.0,0.16770000000000002,7.708000000000006,0.7382786704820602,0.6936936936936938,0.8702646600934095,0.8327197422917625
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.155,0.475,0.145,0.9354838709677418,1.9694397283531406,1.0,0.071375,8.13749999999998,0.5825341766986329,0.29896907216494845,0.877112135176651,0.6203735144312393
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.155,0.545,0.145,0.9354838709677418,1.7164841669132875,1.0,0.06052499999999998,7.052499999999982,0.4939808202407671,0.2612612612612612,0.8582063098192126,0.6007694584196507
"frozenset({'Solvent:Toluene', 'Thickener:Xanthan', 'Pigment:TiO2'})",frozenset({'Resin:Acrylic_A'}),0.155,0.545,0.145,0.9354838709677418,1.7164841669132875,1.0,0.06052499999999998,7.052499999999982,0.4939808202407671,0.2612612612612612,0.8582063098192126,0.6007694584196507
"frozenset({'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.46,0.485,0.43,0.9347826086956521,1.927386822052891,1.0,0.2069,7.8966666666666585,0.8910422049956933,0.8349514563106794,0.8733642887294216,0.910690273419991
"frozenset({'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.46,0.53,0.43,0.9347826086956521,1.7637407711238717,1.0,0.18619999999999998,7.206666666666659,0.8018949181739877,0.7678571428571428,0.8612395929694726,0.8730516817063165
"frozenset({'Solvent:Toluene', 'Resin:Acrylic_A', 'Pigment:TiO2'})",frozenset({'Additive:BYK-333'}),0.46,0.53,0.43,0.9347826086956521,1.7637407711238717,1.0,0.18619999999999998,7.206666666666659,0.8018949181739877,0.7678571428571428,0.8612395929694726,0.8730516817063165
"frozenset({'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.15,0.475,0.14,0.9333333333333336,1.964912280701755,1.0,0.06875000000000002,7.875000000000028,0.577731092436975,0.288659793814433,0.8730158730158735,0.6140350877192984
"frozenset({'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.15,0.545,0.14,0.9333333333333336,1.7125382262996944,1.0,0.05825000000000001,6.825000000000023,0.48949579831932777,0.25225225225225223,0.853479853479854,0.5951070336391439
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.15,0.545,0.14,0.9333333333333336,1.7125382262996944,1.0,0.05825000000000001,6.825000000000023,0.48949579831932777,0.25225225225225223,0.853479853479854,0.5951070336391439
"frozenset({'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Pigment:TiO2'})",0.145,0.425,0.135,0.9310344827586209,2.190669371196755,1.0,0.07337500000000002,8.337500000000023,0.6356941737058698,0.31034482758620696,0.880059970014993,0.6243407707910752
"frozenset({'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Surfactant:Tego270'})",0.145,0.435,0.135,0.9310344827586209,2.1403091557669445,1.0,0.07192500000000002,8.192500000000022,0.6231319038336584,0.303370786516854,0.8779371376258778,0.6206896551724139
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Surfactant:Tego270'})",0.145,0.435,0.135,0.9310344827586209,2.1403091557669445,1.0,0.07192500000000002,8.192500000000022,0.6231319038336584,0.303370786516854,0.8779371376258778,0.6206896551724139
"frozenset({'Additive:BYK-333', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.465,0.475,0.43,0.9247311827956988,1.946802490096208,1.0,0.209125,6.974999999999986,0.9090415127146275,0.8431372549019608,0.8566308243727596,0.9149971703452178
"frozenset({'Additive:BYK-333', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.465,0.545,0.43,0.9247311827956988,1.6967544638453187,1.0,0.17657499999999998,6.044999999999987,0.7675505324929364,0.7413793103448275,0.8345740281224149,0.856861004241886
"frozenset({'Additive:BYK-333', 'Solvent:Toluene', 'Pigment:TiO2'})",frozenset({'Resin:Acrylic_A'}),0.465,0.545,0.43,0.9247311827956988,1.6967544638453187,1.0,0.17657499999999998,6.044999999999987,0.7675505324929364,0.7413793103448275,0.8345740281224149,0.856861004241886
"frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.42,0.475,0.385,0.9166666666666666,1.9298245614035088,1.0,0.18550000000000003,6.299999999999997,0.8307210031347962,0.7549019607843137,0.8412698412698412,0.8635964912280701
"frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.42,0.545,0.385,0.9166666666666666,1.6819571865443423,1.0,0.1561,5.459999999999997,0.6990595611285265,0.6637931034482758,0.8168498168498167,0.8115443425076452
"frozenset({'Additive:BYK-333', 'Pigment:TiO2', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.42,0.545,0.385,0.9166666666666666,1.6819571865443423,1.0,0.1561,5.459999999999997,0.6990595611285265,0.6637931034482758,0.8168498168498167,0.8115443425076452
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Pigment:TiO2', 'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.155,0.41,0.14,0.903225806451613,2.2029897718332023,1.0,0.07645000000000002,6.096666666666673,0.6462383770076079,0.32941176470588246,0.835975943138327,0.6223446105428797
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Resin:Acrylic_A'})",0.155,0.425,0.14,0.903225806451613,2.125237191650854,1.0,0.07412500000000001,5.941666666666672,0.6265849535080305,0.31818181818181823,0.8316970546984574,0.6163187855787478
