antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.155,0.425,0.14,0.903225806451613,2.125237191650854,1.0,0.07412500000000001,5.941666666666672,0.6265849535080305,0.31818181818181823,0.8316970546984574,0.6163187855787478
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Pigment:TiO2'})",0.155,0.44,0.14,0.903225806451613,2.052785923753666,1.0,0.07180000000000002,5.786666666666672,0.6069315300084532,0.30769230769230776,0.8271889400921659,0.6107038123167157
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.155,0.455,0.14,0.903225806451613,1.9851116625310175,1.0,0.06947500000000001,5.631666666666671,0.5872781065088758,0.29787234042553196,0.8224326723882808,0.6054590570719603
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.155,0.455,0.14,0.903225806451613,1.9851116625310175,1.0,0.06947500000000001,5.631666666666671,0.5872781065088758,0.29787234042553196,0.8224326723882808,0.6054590570719603
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.155,0.485,0.14,0.903225806451613,1.862321250415697,1.0,0.06482500000000002,5.321666666666672,0.5479712595097213,0.28,0.8120889445662388,0.595942800133023
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.155,0.53,0.14,0.903225806451613,1.704199634814364,1.0,0.05785000000000001,4.856666666666671,0.4890109890109891,0.25688073394495414,0.7940974605353468,0.5836883749239197
"frozenset({'Solvent:Toluene', 'Thickener:Xanthan', 'Pigment:TiO2'})",frozenset({'Additive:BYK-333'}),0.155,0.53,0.14,0.903225806451613,1.704199634814364,1.0,0.05785000000000001,4.856666666666671,0.4890109890109891,0.25688073394495414,0.7940974605353468,0.5836883749239197
"frozenset({'Additive:BYK-333', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.465,0.555,0.42,0.9032258064516128,1.6274338854984012,1.0,0.16192499999999993,4.5983333333333265,0.7206275033377836,0.6999999999999998,0.7825299021384556,0.8299912816041847
"frozenset({'Additive:BYK-333', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.465,0.615,0.42,0.9032258064516128,1.4686598478888013,1.0,0.13402499999999995,3.9783333333333277,0.5964619492656875,0.6363636363636362,0.7486384583158773,0.7930763178599527
"frozenset({'Additive:BYK-333', 'Solvent:Toluene', 'Pigment:TiO2'})",frozenset({'Surfactant:Tego270'}),0.465,0.615,0.42,0.9032258064516128,1.4686598478888013,1.0,0.13402499999999995,3.9783333333333277,0.5964619492656875,0.6363636363636362,0.7486384583158773,0.7930763178599527
"frozenset({'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Pigment:TiO2'})",0.15,0.44,0.135,0.9000000000000002,2.045454545454546,1.0,0.069,5.600000000000014,0.6013071895424836,0.29670329670329676,0.8214285714285717,0.603409090909091
"frozenset({'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.15,0.455,0.135,0.9000000000000002,1.9780219780219785,1.0,0.06675,5.450000000000013,0.5816993464052288,0.2872340425531915,0.8165137614678905,0.5983516483516484
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.15,0.455,0.135,0.9000000000000002,1.9780219780219785,1.0,0.06675,5.450000000000013,0.5816993464052288,0.2872340425531915,0.8165137614678905,0.5983516483516484
"frozenset({'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.15,0.485,0.135,0.9000000000000002,1.855670103092784,1.0,0.062250000000000014,5.150000000000013,0.542483660130719,0.27,0.8058252427184471,0.5891752577319589
"frozenset({'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.15,0.53,0.135,0.9000000000000002,1.69811320754717,1.0,0.05550000000000001,4.700000000000011,0.4836601307189543,0.2477064220183486,0.787234042553192,0.5773584905660378
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.15,0.53,0.135,0.9000000000000002,1.69811320754717,1.0,0.05550000000000001,4.700000000000011,0.4836601307189543,0.2477064220183486,0.787234042553192,0.5773584905660378
"frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.43,0.555,0.385,0.8953488372093024,1.613241148124869,1.0,0.14634999999999998,4.2522222222222235,0.666894508999772,0.6416666666666666,0.7648288476613536,0.7945212654514979
"frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.43,0.615,0.385,0.8953488372093024,1.4558517678200038,1.0,0.12054999999999999,3.67888888888889,0.5493278651173387,0.5833333333333334,0.7281787979462399,0.7606825486859521
"frozenset({'Additive:BYK-333', 'Pigment:TiO2', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.43,0.615,0.385,0.8953488372093024,1.4558517678200038,1.0,0.12054999999999999,3.67888888888889,0.5493278651173387,0.5833333333333334,0.7281787979462399,0.7606825486859521
"frozenset({'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.46,0.555,0.41,0.8913043478260868,1.6059537798668229,1.0,0.15469999999999995,4.093999999999994,0.6987353206865399,0.6776859504132229,0.7557401074743524,0.8150215432824126
"frozenset({'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.46,0.615,0.41,0.8913043478260868,1.4492753623188404,1.0,0.1271,3.5419999999999954,0.574074074074074,0.6165413533834586,0.7176736307171085,0.7789855072463767
"frozenset({'Solvent:Toluene', 'Resin:Acrylic_A', 'Pigment:TiO2'})",frozenset({'Surfactant:Tego270'}),0.46,0.615,0.41,0.8913043478260868,1.4492753623188404,1.0,0.1271,3.5419999999999954,0.574074074074074,0.6165413533834586,0.7176736307171085,0.7789855072463767
"frozenset({'Resin:Acrylic_A', 'Thickener:HEC', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.13,0.555,0.115,0.8846153846153847,1.593901593901594,1.0,0.04285,3.8566666666666687,0.42828585707146427,0.20175438596491227,0.7407087294727746,0.545911295911296
"frozenset({'Additive:BYK-333', 'Thickener:HEC', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.13,0.555,0.115,0.8846153846153847,1.593901593901594,1.0,0.04285,3.8566666666666687,0.42828585707146427,0.20175438596491227,0.7407087294727746,0.545911295911296
"frozenset({'Thickener:HEC', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.13,0.615,0.115,0.8846153846153847,1.4383989993746094,1.0,0.03505,3.336666666666669,0.35032483758120936,0.18253968253968256,0.7002997002997005,0.5358036272670419
"frozenset({'Additive:BYK-333', 'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.13,0.615,0.115,0.8846153846153847,1.4383989993746094,1.0,0.03505,3.336666666666669,0.35032483758120936,0.18253968253968256,0.7002997002997005,0.5358036272670419
"frozenset({'Pigment:TiO2', 'Resin:Acrylic_A', 'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.13,0.615,0.115,0.8846153846153847,1.4383989993746094,1.0,0.03505,3.336666666666669,0.35032483758120936,0.18253968253968256,0.7002997002997005,0.5358036272670419
"frozenset({'Additive:BYK-333', 'Pigment:TiO2', 'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.13,0.615,0.115,0.8846153846153847,1.4383989993746094,1.0,0.03505,3.336666666666669,0.35032483758120936,0.18253968253968256,0.7002997002997005,0.5358036272670419
frozenset({'Solvent:Toluene'}),"frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.61,0.555,0.535,0.8770491803278689,1.5802687933835475,1.0,0.19645,3.6193333333333353,0.9415288761083153,0.8492063492063493,0.7237060232086943,0.9205065721459164
frozenset({'Solvent:Toluene'}),frozenset({'Surfactant:Tego270'}),0.61,0.615,0.535,0.8770491803278689,1.4260962281753966,1.0,0.15985000000000005,3.1313333333333357,0.7661155044332616,0.7753623188405797,0.6806472216308285,0.8734839397574304
"frozenset({'Solvent:Toluene', 'Pigment:TiO2'})",frozenset({'Surfactant:Tego270'}),0.61,0.615,0.535,0.8770491803278689,1.4260962281753966,1.0,0.15985000000000005,3.1313333333333357,0.7661155044332616,0.7753623188405797,0.6806472216308285,0.8734839397574304
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2', 'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.155,0.385,0.135,0.870967741935484,2.2622538751571013,1.0,0.075325,4.766250000000004,0.6603111987727373,0.3333333333333333,0.7901914503016,0.6108085462924173
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.155,0.395,0.135,0.870967741935484,2.204981625153124,1.0,0.07377500000000001,4.688750000000004,0.6467236467236467,0.3253012048192771,0.7867235403892298,0.6063699469171091
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.155,0.395,0.135,0.870967741935484,2.204981625153124,1.0,0.07377500000000001,4.688750000000004,0.6467236467236467,0.3253012048192771,0.7867235403892298,0.6063699469171091
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Pigment:TiO2'})",0.155,0.425,0.135,0.870967741935484,2.0493358633776095,1.0,0.069125,4.456250000000003,0.6059609905763752,0.303370786516854,0.7755960729312765,0.5943074003795068
"frozenset({'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Surfactant:Tego270'})",0.155,0.435,0.135,0.870967741935484,2.002224694104561,1.0,0.06757500000000001,4.378750000000004,0.5923734385272847,0.29670329670329676,0.7716243220097062,0.5906562847608454
"frozenset({'Pigment:TiO2', 'Thickener:Xanthan', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Surfactant:Tego270'})",0.155,0.435,0.135,0.870967741935484,2.002224694104561,1.0,0.06757500000000001,4.378750000000004,0.5923734385272847,0.29670329670329676,0.7716243220097062,0.5906562847608454
"frozenset({'Thickener:HEUR', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.135,0.555,0.115,0.8518518518518517,1.5348682015348678,1.0,0.040075,3.0037499999999975,0.4028650414677054,0.19999999999999998,0.6670828131502287,0.5295295295295295
"frozenset({'Thickener:HEUR', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.135,0.615,0.115,0.8518518518518517,1.3851249623607347,1.0,0.031975,2.598749999999998,0.3214375471223926,0.18110236220472442,0.615199615199615,0.5194218608852754
"frozenset({'Thickener:HEUR', 'Solvent:Toluene', 'Pigment:TiO2'})",frozenset({'Surfactant:Tego270'}),0.135,0.615,0.115,0.8518518518518517,1.3851249623607347,1.0,0.031975,2.598749999999998,0.3214375471223926,0.18110236220472442,0.615199615199615,0.5194218608852754
"frozenset({'Additive:BYK-333', 'Thickener:HEC', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.13,0.475,0.11,0.8461538461538461,1.7813765182186236,1.0,0.04825,3.4125,0.5041797283176594,0.22222222222222224,0.706959706959707,0.5388663967611336
"frozenset({'Thickener:HEC', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.13,0.485,0.11,0.8461538461538461,1.7446471054718478,1.0,0.046950000000000006,3.3474999999999997,0.4905956112852666,0.21782178217821782,0.7012696041822255,0.5364789849325932
"frozenset({'Solvent:Toluene', 'Resin:Acrylic_A', 'Thickener:HEC'})",frozenset({'Additive:BYK-333'}),0.13,0.53,0.11,0.8461538461538461,1.5965166908563133,1.0,0.0411,3.0549999999999997,0.42946708463949845,0.19999999999999998,0.6726677577741407,0.5268505079825835
"frozenset({'Pigment:TiO2', 'Thickener:HEC', 'Resin:Acrylic_A', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.13,0.53,0.11,0.8461538461538461,1.5965166908563133,1.0,0.0411,3.0549999999999997,0.42946708463949845,0.19999999999999998,0.6726677577741407,0.5268505079825835
"frozenset({'Additive:BYK-333', 'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.13,0.545,0.11,0.8461538461538461,1.5525758645024699,1.0,0.03914999999999999,2.9574999999999996,0.409090909090909,0.19469026548672563,0.661876584953508,0.5239943542695836
"frozenset({'Additive:BYK-333', 'Pigment:TiO2', 'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.13,0.545,0.11,0.8461538461538461,1.5525758645024699,1.0,0.03914999999999999,2.9574999999999996,0.409090909090909,0.19469026548672563,0.661876584953508,0.5239943542695836
"frozenset({'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Surfactant:Tego270', 'Pigment:TiO2'})",0.46,0.425,0.385,0.8369565217391304,1.969309462915601,1.0,0.1895,3.526666666666665,0.9114959114959114,0.77,0.7164461247637051,0.8714194373401534
"frozenset({'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Surfactant:Tego270'})",0.46,0.435,0.385,0.8369565217391304,1.9240379810094952,1.0,0.1849,3.465333333333332,0.8893698893698893,0.7549019607843137,0.7114274721046556,0.8610069965017491
"frozenset({'Pigment:TiO2', 'Resin:Acrylic_A', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Surfactant:Tego270'})",0.46,0.435,0.385,0.8369565217391304,1.9240379810094952,1.0,0.1849,3.465333333333332,0.8893698893698893,0.7549019607843137,0.7114274721046556,0.8610069965017491
"frozenset({'Additive:BYK-333', 'Solvent:Toluene'})","frozenset({'Pigment:TiO2', 'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.465,0.41,0.385,0.8279569892473118,2.019407290847102,1.0,0.19435000000000002,3.429374999999999,0.9435611117854111,0.7857142857142857,0.7084016766903588,0.8834906897456072
"frozenset({'Additive:BYK-333', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Resin:Acrylic_A'})",0.465,0.425,0.385,0.8279569892473118,1.948134092346616,1.0,0.187375,3.3421874999999983,0.9096977788566576,0.7623762376237624,0.7007947639083684,0.8669196710942442
"frozenset({'Additive:BYK-333', 'Pigment:TiO2', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Surfactant:Tego270'})",0.465,0.425,0.385,0.8279569892473118,1.948134092346616,1.0,0.187375,3.3421874999999983,0.9096977788566576,0.7623762376237624,0.7007947639083684,0.8669196710942442
"frozenset({'Thickener:HEC', 'Solvent:Toluene'})","frozenset({'Surfactant:Tego270', 'Pigment:TiO2'})",0.22,0.555,0.18,0.8181818181818181,1.474201474201474,1.0,0.05789999999999998,2.447499999999999,0.41239316239316226,0.3025210084033613,0.591419816138917,0.5712530712530712
"frozenset({'Thickener:HEC', 'Solvent:Toluene'})",frozenset({'Surfactant:Tego270'}),0.22,0.615,0.18,0.8181818181818181,1.3303769401330376,1.0,0.04469999999999999,2.1174999999999993,0.3183760683760683,0.27480916030534347,0.5277449822904366,0.5554323725055432
"frozenset({'Solvent:Toluene', 'Thickener:HEC', 'Pigment:TiO2'})",frozenset({'Surfactant:Tego270'}),0.22,0.615,0.18,0.8181818181818181,1.3303769401330376,1.0,0.04469999999999999,2.1174999999999993,0.3183760683760683,0.27480916030534347,0.5277449822904366,0.5554323725055432
"frozenset({'Thickener:HEUR', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Pigment:TiO2'})",0.135,0.44,0.11,0.8148148148148147,1.8518518518518514,1.0,0.0506,3.023999999999998,0.5317919075144508,0.23655913978494625,0.669312169312169,0.5324074074074073
"frozenset({'Thickener:HEUR', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.135,0.455,0.11,0.8148148148148147,1.7908017908017904,1.0,0.04857499999999999,2.942999999999997,0.5105097214923804,0.22916666666666663,0.6602106693849811,0.5282865282865282
"frozenset({'Thickener:HEUR', 'Pigment:TiO2', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.135,0.455,0.11,0.8148148148148147,1.7908017908017904,1.0,0.04857499999999999,2.942999999999997,0.5105097214923804,0.22916666666666663,0.6602106693849811,0.5282865282865282
"frozenset({'Thickener:HEUR', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.135,0.475,0.11,0.8148148148148147,1.715399610136452,1.0,0.045875,2.8349999999999977,0.4821334734629532,0.22,0.6472663139329803,0.5231968810916179
"frozenset({'Thickener:HEUR', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.135,0.485,0.11,0.8148148148148147,1.6800305460099272,1.0,0.044524999999999995,2.780999999999998,0.46794534944823957,0.21568627450980393,0.6404171161452712,0.5208094692630775
"frozenset({'Thickener:HEUR', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.135,0.53,0.11,0.8148148148148147,1.53738644304682,1.0,0.03845,2.5379999999999976,0.40409879138202837,0.19819819819819817,0.605988967691095,0.5111809923130677
"frozenset({'Thickener:HEUR', 'Solvent:Toluene', 'Pigment:TiO2'})",frozenset({'Additive:BYK-333'}),0.135,0.53,0.11,0.8148148148148147,1.53738644304682,1.0,0.03845,2.5379999999999976,0.40409879138202837,0.19819819819819817,0.605988967691095,0.5111809923130677
"frozenset({'Thickener:HEUR', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.135,0.545,0.11,0.8148148148148147,1.4950730547060818,1.0,0.036424999999999985,2.4569999999999976,0.3828166053599578,0.19298245614035087,0.5929995929995926,0.5083248386000678
"frozenset({'Thickener:HEUR', 'Solvent:Toluene', 'Pigment:TiO2'})",frozenset({'Resin:Acrylic_A'}),0.135,0.545,0.11,0.8148148148148147,1.4950730547060818,1.0,0.036424999999999985,2.4569999999999976,0.3828166053599578,0.19298245614035087,0.5929995929995926,0.5083248386000678
"frozenset({'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.535,0.485,0.42,0.7850467289719626,1.618653049426727,1.0,0.16052499999999997,2.395869565217391,0.8219406041986687,0.6999999999999998,0.5826150077125487,0.8255130552076309
"frozenset({'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Additive:BYK-333'}),0.535,0.53,0.42,0.7850467289719626,1.4812202433433255,1.0,0.13644999999999996,2.1865217391304346,0.698668714797747,0.6511627906976744,0.542652614833963,0.7887497795803209
"frozenset({'Solvent:Toluene', 'Surfactant:Tego270', 'Pigment:TiO2'})",frozenset({'Additive:BYK-333'}),0.535,0.53,0.42,0.7850467289719626,1.4812202433433255,1.0,0.13644999999999996,2.1865217391304346,0.698668714797747,0.6511627906976744,0.542652614833963,0.7887497795803209
"frozenset({'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.535,0.475,0.41,0.7663551401869158,1.61337924249877,1.0,0.15587499999999999,2.246999999999999,0.8175976921059533,0.6833333333333332,0.5549621717846015,0.8147565174618789
"frozenset({'Surfactant:Tego270', 'Solvent:Toluene'})",frozenset({'Resin:Acrylic_A'}),0.535,0.545,0.41,0.7663551401869158,1.4061562205264508,1.0,0.11842499999999995,1.9473999999999987,0.6211644374508258,0.6119402985074626,0.486494813597617,0.7593243590842835
"frozenset({'Solvent:Toluene', 'Surfactant:Tego270', 'Pigment:TiO2'})",frozenset({'Resin:Acrylic_A'}),0.535,0.545,0.41,0.7663551401869158,1.4061562205264508,1.0,0.11842499999999995,1.9473999999999987,0.6211644374508258,0.6119402985074626,0.486494813597617,0.7593243590842835
frozenset({'Solvent:Toluene'}),"frozenset({'Additive:BYK-333', 'Pigment:TiO2'})",0.61,0.485,0.465,0.7622950819672132,1.5717424370458004,1.0,0.16915000000000002,2.1665517241379315,0.9327267714364489,0.7380952380952382,0.5384370523635208,0.8605289842825757
frozenset({'Solvent:Toluene'}),frozenset({'Additive:BYK-333'}),0.61,0.53,0.465,0.7622950819672132,1.4382926074853077,1.0,0.1417,1.9772413793103454,0.7813620071684587,0.6888888888888889,0.4942448552493897,0.8198267862666255
"frozenset({'Solvent:Toluene', 'Pigment:TiO2'})",frozenset({'Additive:BYK-333'}),0.61,0.53,0.465,0.7622950819672132,1.4382926074853077,1.0,0.1417,1.9772413793103454,0.7813620071684587,0.6888888888888889,0.4942448552493897,0.8198267862666255
frozenset({'Solvent:Toluene'}),"frozenset({'Resin:Acrylic_A', 'Pigment:TiO2'})",0.61,0.475,0.46,0.7540983606557378,1.5875754961173427,1.0,0.17025,2.1350000000000007,0.9489966555183947,0.736,0.5316159250585482,0.8612597066436585
frozenset({'Solvent:Toluene'}),frozenset({'Resin:Acrylic_A'}),0.61,0.545,0.46,0.7540983606557378,1.3836667167995187,1.0,0.12755,1.8503333333333336,0.7109810479375697,0.6618705035971223,0.45955683660601704,0.7990675289517221
"frozenset({'Solvent:Toluene', 'Pigment:TiO2'})",frozenset({'Resin:Acrylic_A'}),0.61,0.545,0.46,0.7540983606557378,1.3836667167995187,1.0,0.12755,1.8503333333333336,0.7109810479375697,0.6618705035971223,0.45955683660601704,0.7990675289517221
"frozenset({'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Pigment:TiO2'})",0.535,0.44,0.385,0.719626168224299,1.6355140186915886,1.0,0.14959999999999998,1.9973333333333334,0.8356374807987711,0.6525423728813559,0.4993324432576768,0.7973130841121495
"frozenset({'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.535,0.455,0.385,0.719626168224299,1.5815959741193384,1.0,0.14157499999999998,1.9438333333333329,0.7908113391984359,0.6363636363636364,0.4855526022464203,0.7828900071890725
"frozenset({'Pigment:TiO2', 'Surfactant:Tego270', 'Solvent:Toluene'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.535,0.455,0.385,0.719626168224299,1.5815959741193384,1.0,0.14157499999999998,1.9438333333333329,0.7908113391984359,0.6363636363636364,0.4855526022464203,0.7828900071890725
frozenset({'Solvent:Toluene'}),"frozenset({'Additive:BYK-333', 'Resin:Acrylic_A', 'Pigment:TiO2'})",0.61,0.44,0.43,0.7049180327868853,1.602086438152012,1.0,0.16160000000000002,1.897777777777778,0.9636255217650567,0.693548387096774,0.4730679156908665,0.8410953800298062
frozenset({'Solvent:Toluene'}),"frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.61,0.455,0.43,0.7049180327868853,1.549270401729418,1.0,0.15244999999999997,1.8469444444444443,0.9090638044126413,0.6771653543307087,0.45856519777410143,0.8249864889209151
"frozenset({'Solvent:Toluene', 'Pigment:TiO2'})","frozenset({'Additive:BYK-333', 'Resin:Acrylic_A'})",0.61,0.455,0.43,0.7049180327868853,1.549270401729418,1.0,0.15244999999999997,1.8469444444444443,0.9090638044126413,0.6771653543307087,0.45856519777410143,0.8249864889209151
